[probe] server healthy: {'status': 'ok', 'model': 'deepseek-v4-flash-0731-reap', 'context_len': 0, 'seqmax': 16384, 'busy': True}
[probe] corpus LOOP_LOG.md ac10134c87e3d0fe   control COMPRESSION_PLAYBOOK.md 79ac6563f97e53e5
[probe] sweep-t12288-r0: pt=12282 cached=None ct=256 prefill=269573ms decode=30824ms tau=1.829 -> 220.17 ms/forward  (300s)
[probe] sweep-t12288-r1: pt=12282 cached=None ct=256 prefill=0ms decode=36906ms tau=1.463 -> 210.89 ms/forward  (37s)
[probe] sweep-t12288-r2: pt=12282 cached=None ct=256 prefill=0ms decode=33942ms tau=1.620 -> 214.83 ms/forward  (34s)
[probe] sweep-t12288-r3: pt=12282 cached=None ct=256 prefill=0ms decode=34328ms tau=1.610 -> 215.90 ms/forward  (34s)
[probe] sweep-t12288-r4: pt=12282 cached=None ct=256 prefill=0ms decode=32774ms tau=1.684 -> 215.62 ms/forward  (33s)
[probe] sweep-t12288-r5: pt=12282 cached=None ct=256 prefill=0ms decode=31612ms tau=1.741 -> 215.05 ms/forward  (32s)
[probe] sweep-t9216-r0: pt=9213 cached=None ct=256 prefill=0ms decode=26923ms tau=1.869 -> 196.52 ms/forward  (27s)
[probe] sweep-t9216-r1: pt=9213 cached=None ct=256 prefill=0ms decode=25125ms tau=2.133 -> 209.37 ms/forward  (25s)
[probe] sweep-t9216-r2: pt=9213 cached=None ct=256 prefill=0ms decode=26348ms tau=1.969 -> 202.68 ms/forward  (26s)
[probe] sweep-t9216-r3: pt=9213 cached=None ct=256 prefill=0ms decode=23704ms tau=2.286 -> 211.64 ms/forward  (24s)
[probe] sweep-t9216-r4: pt=9213 cached=None ct=256 prefill=0ms decode=27758ms tau=1.882 -> 204.10 ms/forward  (28s)
[probe] sweep-t9216-r5: pt=9213 cached=None ct=256 prefill=0ms decode=26683ms tau=1.969 -> 205.26 ms/forward  (27s)
[probe] sweep-t6144-r0: pt=6132 cached=None ct=256 prefill=0ms decode=24142ms tau=1.939 -> 182.89 ms/forward  (24s)
[probe] sweep-t6144-r1: pt=6132 cached=None ct=256 prefill=0ms decode=26859ms tau=1.718 -> 180.26 ms/forward  (27s)
[probe] sweep-t6144-r2: pt=6132 cached=None ct=256 prefill=0ms decode=26197ms tau=1.753 -> 179.43 ms/forward  (26s)
[probe] sweep-t6144-r3: pt=6132 cached=None ct=256 prefill=0ms decode=26609ms tau=1.718 -> 178.58 ms/forward  (27s)
[probe] sweep-t6144-r4: pt=6132 cached=None ct=256 prefill=0ms decode=28271ms tau=1.620 -> 178.93 ms/forward  (28s)
[probe] sweep-t6144-r5: pt=6132 cached=None ct=256 prefill=0ms decode=28745ms tau=1.590 -> 178.54 ms/forward  (29s)
[probe] sweep-t3072-r0: pt=3069 cached=None ct=256 prefill=0ms decode=26686ms tau=1.506 -> 156.97 ms/forward  (27s)
[probe] sweep-t3072-r1: pt=3069 cached=None ct=256 prefill=0ms decode=25948ms tau=1.580 -> 160.17 ms/forward  (26s)
[probe] sweep-t3072-r2: pt=3069 cached=None ct=256 prefill=0ms decode=22352ms tau=1.829 -> 159.66 ms/forward  (22s)
[probe] sweep-t3072-r3: pt=3069 cached=None ct=256 prefill=0ms decode=25878ms tau=1.600 -> 161.74 ms/forward  (26s)
[probe] sweep-t3072-r4: pt=3069 cached=None ct=256 prefill=0ms decode=23558ms tau=1.753 -> 161.36 ms/forward  (24s)
[probe] sweep-t3072-r5: pt=3069 cached=None ct=256 prefill=0ms decode=24940ms tau=1.652 -> 160.90 ms/forward  (25s)
[probe] sweep-t1536-r0: pt=1536 cached=None ct=256 prefill=0ms decode=22155ms tau=1.707 -> 147.70 ms/forward  (22s)
[probe] sweep-t1536-r1: pt=1536 cached=None ct=256 prefill=0ms decode=22125ms tau=1.718 -> 148.49 ms/forward  (22s)
[probe] sweep-t1536-r2: pt=1536 cached=None ct=256 prefill=0ms decode=22391ms tau=1.662 -> 145.40 ms/forward  (22s)
[probe] sweep-t1536-r3: pt=1536 cached=None ct=256 prefill=0ms decode=21500ms tau=1.778 -> 149.31 ms/forward  (22s)
[probe] sweep-t1536-r4: pt=1536 cached=None ct=256 prefill=0ms decode=22289ms tau=1.695 -> 147.61 ms/forward  (22s)
[probe] sweep-t1536-r5: pt=1536 cached=None ct=256 prefill=0ms decode=22435ms tau=1.673 -> 146.64 ms/forward  (22s)
[probe] sweep-t768-r0: pt=761 cached=None ct=256 prefill=0ms decode=19402ms tau=1.803 -> 136.64 ms/forward  (19s)
[probe] sweep-t768-r1: pt=761 cached=None ct=256 prefill=0ms decode=20399ms tau=1.718 -> 136.90 ms/forward  (20s)
[probe] sweep-t768-r2: pt=761 cached=None ct=256 prefill=0ms decode=20065ms tau=1.730 -> 135.58 ms/forward  (20s)
[probe] sweep-t768-r3: pt=761 cached=None ct=256 prefill=0ms decode=19510ms tau=1.816 -> 138.37 ms/forward  (20s)
[probe] sweep-t768-r4: pt=761 cached=None ct=256 prefill=0ms decode=21296ms tau=1.620 -> 134.79 ms/forward  (21s)
[probe] sweep-t768-r5: pt=761 cached=None ct=256 prefill=0ms decode=21827ms tau=1.620 -> 138.14 ms/forward  (22s)
[probe] sweep-t384-r0: pt=364 cached=None ct=256 prefill=0ms decode=21382ms tau=1.552 -> 129.59 ms/forward  (21s)
[probe] sweep-t384-r1: pt=364 cached=None ct=256 prefill=0ms decode=24924ms tau=1.347 -> 131.18 ms/forward  (25s)
[probe] sweep-t384-r2: pt=364 cached=None ct=256 prefill=0ms decode=21122ms tau=1.561 -> 128.79 ms/forward  (21s)
