[ihash] point 0 : h0(embed)=54082a4a9b35c383  h(hc_expand)=8bb3648358b80383  hptr=0xffff11600000  wq_a[0..1MB]=7fb713f4d96b9386
[lhash] point 0 layer  0 ratio   0 : 30577446801a9e3a
[lhash] point 0 layer  1 ratio   0 : e79db1e6be5bc7c2
[lhash] point 0 layer  2 ratio   4 : 47e2c8427a2c5348
[lhash] point 0 layer  3 ratio 128 : 112c79c21f0f1e6d
[lhash] point 0 layer  4 ratio   4 : f1aee05ba44f6950
[lhash] point 0 layer  5 ratio 128 : a74ad290b3cabe5f
[lhash] point 0 layer  6 ratio   4 : 471fba876650466c
[lhash] point 0 layer  7 ratio 128 : 873552d8d1cc9185
[lhash] point 0 layer  8 ratio   4 : 07ab410e7c60a3ee
[lhash] point 0 layer  9 ratio 128 : 0b9fb93ba3d6b16f
[lhash] point 0 layer 10 ratio   4 : beebad5e1ddb78e1
[lhash] point 0 layer 11 ratio 128 : cd7e33222dc8e264
[lhash] point 0 layer 12 ratio   4 : cc5579ae206e1250
[lhash] point 0 layer 13 ratio 128 : dbd08c946266ddd8
[lhash] point 0 layer 14 ratio   4 : 6599a5d23659cc4e
[lhash] point 0 layer 15 ratio 128 : 56cdad1289d8819e
[lhash] point 0 layer 16 ratio   4 : 5850cdcbd64b5656
[lhash] point 0 layer 17 ratio 128 : 02df3f8b627c161b
[lhash] point 0 layer 18 ratio   4 : 953ecb40f2ab62a6
[lhash] point 0 layer 19 ratio 128 : a02838469207f35b
[lhash] point 0 layer 20 ratio   4 : b7907a4c7a558146
[lhash] point 0 layer 21 ratio 128 : a9126d478753b18b
[lhash] point 0 layer 22 ratio   4 : e950740a5cf68996
[lhash] point 0 layer 23 ratio 128 : 3064786d06437aec
[lhash] point 0 layer 24 ratio   4 : 05b527dd5fb6a6ed
[lhash] point 0 layer 25 ratio 128 : 10f6821c5c8159be
[lhash] point 0 layer 26 ratio   4 : 94a05f6246611b12
[lhash] point 0 layer 27 ratio 128 : bb5079700a5fb73a
[lhash] point 0 layer 28 ratio   4 : 52cf599fea5fb500
[lhash] point 0 layer 29 ratio 128 : 4e02c36226f467ca
[lhash] point 0 layer 30 ratio   4 : 986689ec2cbd2d51
[lhash] point 0 layer 31 ratio 128 : f2c0b23893930910
[lhash] point 0 layer 32 ratio   4 : 667d48da96f1d822
[lhash] point 0 layer 33 ratio 128 : cbdbf9dc379b2a32
[lhash] point 0 layer 34 ratio   4 : d1059b3d2a290055
[lhash] point 0 layer 35 ratio 128 : 60aae14be25427e2
[lhash] point 0 layer 36 ratio   4 : 2d4f8343e2267d6d
[lhash] point 0 layer 37 ratio 128 : c544239658fc48dc
[lhash] point 0 layer 38 ratio   4 : fce280bfd848f0e0
[lhash] point 0 layer 39 ratio 128 : bce137255b1eff1e
[lhash] point 0 layer 40 ratio   4 : 70ad0ee7db1e0e63
[lhash] point 0 layer 41 ratio 128 : 64257fb5bd2cf2fb
[lhash] point 0 layer 42 ratio   4 : b38d7df9cf09c4e2
[hash] point 0 prompt 0 PSp=5 : main_x=6b58850aef5d9a50 mh_pre=28cc96070743fda1 scratch0=0000fffcfdbf4000
[ihash] point 1 : h0(embed)=530ff752dae94383  h(hc_expand)=3cb0170fcbde0383  hptr=0xfffee0000000  wq_a[0..1MB]=7fb713f4d96b9386
[lhash] point 1 layer  0 ratio   0 : 1b84522c99d90332
[lhash] point 1 layer  1 ratio   0 : d46d166a2fa43a42
[lhash] point 1 layer  2 ratio   4 : 94bfcd5ad0e0357f
[lhash] point 1 layer  3 ratio 128 : 12fcb1b0899ba372
[lhash] point 1 layer  4 ratio   4 : ddd507f17f9388ea
[lhash] point 1 layer  5 ratio 128 : c9b0cb32b1fbed5e
[lhash] point 1 layer  6 ratio   4 : 41a608f77976b642
