 pt    PSp  layers  first DIFF layer  its ratio  #layers DIFF
  0     16      43              none          -      0/43
  1     32      43              none          -      0/43
  2     64      43              none          -      0/43
  3    128      43              none          -      0/43
  4    256      43                 2          4     41/43
  5    512      43                 2          4     41/43
  6   1024      43                 2          4     41/43
  7   2048      43                 2          4     41/43
  8   2560      43                 2          4     41/43
  9   3071      43                 2          4     41/43
VERDICT: the prefill does NOT reproduce itself at every point above
