run_index,threshold,rep,tok_s,log
0,1.0,0,23.57,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_1.0_r0.log
1,1.0,3,23.849,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_1.0_r3.log
2,1.5,0,24.491,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_1.5_r0.log
3,1.0,1,24.1,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_1.0_r1.log
4,2.0,0,24.897,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_2.0_r0.log
5,0.5,2,23.193,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_0.5_r2.log
6,0.5,3,23.175,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_0.5_r3.log
7,3.0,3,24.772,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_3.0_r3.log
8,3.0,1,24.76,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_3.0_r1.log
9,2.0,2,24.9,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_2.0_r2.log
10,3.0,2,24.745,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_3.0_r2.log
11,1.0,2,24.164,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_1.0_r2.log
12,2.0,1,24.871,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_2.0_r1.log
13,1.5,1,24.673,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_1.5_r1.log
14,3.0,0,24.76,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_3.0_r0.log
15,2.0,3,24.874,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_2.0_r3.log
16,0.5,0,23.16,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_0.5_r0.log
17,1.5,3,24.692,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_1.5_r3.log
18,0.5,1,23.164,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_0.5_r1.log
19,1.5,2,24.684,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s1b_1.5_r2.log
