run_index,threshold,rep,tok_s,log
0,1.5,1,24.691,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_1.5_r1.log
1,1.5,2,24.908,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_1.5_r2.log
2,2.0,2,25.26,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_2.0_r2.log
3,1.5,3,25.015,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_1.5_r3.log
4,2.5,1,25.327,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_2.5_r1.log
5,2.0,0,25.297,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_2.0_r0.log
6,2.5,0,25.346,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_2.5_r0.log
7,2.0,3,25.32,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_2.0_r3.log
8,2.5,2,25.357,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_2.5_r2.log
9,2.5,3,25.324,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_2.5_r3.log
10,1.5,0,25.067,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_1.5_r0.log
11,2.0,1,25.24,/home/patrickd/deepseek-v4-flash-0731-cuda/evidence/suiteK_s2K_2.0_r1.log
